c1,c2,c3,c4,t1-1,t1-2,t1-3,t1-4,t1-5,t2-1,t2-2,t2-3,t2-4,t2-5,t3-1,t3-2,t3-3,t3-4,t3-5,t4-1,t4-2,t4-3,t4-4,t4-5,t5-1,t5-2,t5-3,t5-4,t5-5,t6-1,t6-2,t6-3,t6-4,t6-5,t7-1,t7-2,t7-3,t7-4,t7-5,t8-1,t8-2,t8-3,t8-4,t8-5,t9-1,t9-2,t9-3,t9-4,t9-5,t10-1,t10-2,t10-3,t10-4,t10-5,result
25,69,0,0,1,64,9,61,46,31,21,67,28,51,47,62,26,10,30,66,53,23,7,6,72,13,12,2,32,5,29,41,42,44,50,45,8,33,43,22,71,11,52,73,70,3,4,48,65,49,63,24,27,68,1
48,42,0,0,3,5,25,28,24,8,73,72,46,50,66,32,10,7,71,65,23,64,43,31,51,4,1,41,6,63,12,44,2,53,52,49,9,47,70,22,33,29,21,30,67,69,45,13,61,11,68,27,62,26,1
71,73,0,0,13,46,10,43,8,53,9,42,67,2,63,45,11,5,3,64,62,52,49,41,7,33,66,61,21,51,31,27,23,47,48,68,70,28,69,29,25,12,50,22,1,32,72,4,30,26,44,24,6,65,1
63,47,0,0,8,46,70,27,65,53,10,61,22,9,50,5,25,67,26,73,51,1,45,13,11,42,66,41,12,4,69,68,48,21,33,24,43,52,2,28,64,32,7,31,3,44,72,23,71,6,62,49,29,30,3
6,53,0,0,21,25,29,13,73,10,71,24,42,50,32,7,72,67,5,45,48,26,22,11,23,12,46,31,3,51,69,70,68,8,30,44,65,66,27,9,63,2,64,41,4,43,47,28,52,61,33,62,1,49,1
7,13,0,0,2,5,53,3,51,22,50,64,33,68,63,42,47,71,32,24,66,44,21,12,27,73,72,6,8,41,26,11,23,28,43,31,69,70,48,30,62,52,29,45,10,25,1,65,67,46,49,4,9,61,1
23,49,0,0,22,51,44,6,62,42,73,45,69,71,33,70,48,26,1,68,32,66,8,5,7,43,25,24,46,47,65,52,67,28,11,12,4,64,9,10,50,13,30,63,2,21,72,3,31,29,27,53,61,41,1
29,71,0,0,22,69,21,73,2,6,33,23,10,25,64,68,44,43,24,70,30,49,41,32,47,9,31,7,66,61,8,53,63,3,13,4,45,65,42,50,11,72,67,62,26,27,46,51,28,12,52,5,48,1,1
66,2,0,0,33,22,6,9,28,12,46,24,31,52,65,13,48,45,50,23,72,1,61,70,11,63,32,29,49,68,42,10,5,67,25,8,26,53,30,71,44,7,47,3,41,62,4,51,69,73,64,21,27,43,3
53,21,0,0,1,51,28,49,27,71,41,23,33,73,24,4,64,13,44,8,69,47,11,12,22,43,65,31,50,68,10,5,42,63,32,30,7,62,48,9,3,72,25,6,2,26,70,52,29,66,45,46,67,61,1
73,10,0,0,69,25,65,13,67,63,6,29,70,3,64,31,47,2,61,26,21,4,8,71,22,48,9,11,24,68,27,5,12,32,30,44,52,66,49,7,50,43,42,28,46,41,53,1,45,23,33,51,62,72,1
70,10,0,0,63,29,48,49,2,11,12,71,43,21,46,42,66,26,23,24,61,45,51,7,6,62,33,67,73,9,28,25,50,27,44,52,5,32,41,31,65,13,68,47,8,53,64,72,1,69,22,3,4,30,3
7,21,0,0,43,42,26,5,12,11,29,30,6,25,49,27,64,51,44,32,22,1,53,61,3,73,68,72,48,23,41,13,33,47,8,31,4,9,63,66,50,52,28,69,70,2,24,45,10,71,46,67,62,65,1
51,53,0,0,42,66,1,61,23,3,65,69,24,32,43,9,13,30,22,52,63,26,28,6,21,4,33,27,44,64,12,2,45,62,67,49,50,11,71,25,48,31,5,72,7,29,47,41,46,70,10,73,8,68,1
27,72,0,0,73,1,32,66,28,68,6,63,26,5,62,49,23,69,45,47,43,52,21,2,4,67,53,61,24,3,22,31,41,64,70,30,48,71,65,46,9,33,13,51,12,50,25,10,11,29,44,42,8,7,1
5,62,0,0,2,44,8,22,52,11,26,70,6,51,13,72,12,7,25,71,53,41,67,45,3,66,33,32,28,24,27,29,69,73,48,63,4,1,65,23,46,49,47,42,30,61,64,21,31,9,43,68,10,50,1
51,66,0,0,69,65,44,8,62,24,63,4,61,33,22,23,43,52,47,49,3,21,10,46,9,67,29,12,7,45,41,27,11,26,13,53,31,5,32,64,1,70,48,68,50,73,28,6,25,2,71,72,42,30,1
3,2,0,0,10,70,24,63,22,62,23,7,66,32,25,30,44,67,1,13,11,68,43,6,4,5,12,45,42,72,21,51,9,48,61,49,33,28,27,73,64,47,53,50,65,29,26,52,69,8,31,46,71,41,1
49,45,0,0,5,65,9,64,69,1,68,30,43,2,33,51,53,47,24,71,29,22,28,27,67,6,42,52,8,73,4,44,48,41,62,72,66,7,25,26,3,70,12,46,21,32,31,61,50,23,63,11,10,13,3
3,52,0,0,12,11,44,32,68,42,5,9,50,48,45,62,73,66,51,70,25,72,30,69,64,63,65,1,53,22,71,6,7,47,26,61,27,4,24,21,43,31,10,8,2,46,13,33,28,41,23,29,49,67,1
62,21,0,0,22,5,1,6,2,66,3,42,30,8,43,26,13,65,10,25,71,23,7,9,47,52,72,49,46,33,67,51,29,64,31,73,11,63,12,61,53,44,41,68,69,50,45,4,70,28,32,27,48,24,1
29,24,0,0,73,9,63,65,28,70,52,48,41,5,13,72,43,3,44,53,2,46,26,23,32,47,8,66,25,42,30,33,31,67,27,1,45,62,12,69,7,71,50,22,64,4,21,10,61,51,6,11,49,68,1
27,28,0,0,64,44,23,3,51,46,49,69,4,1,5,48,47,67,9,13,71,42,43,21,8,25,61,6,31,7,30,12,52,24,66,70,32,29,73,68,2,10,63,50,26,11,22,53,41,65,45,62,72,33,1
26,64,0,0,5,30,31,53,25,27,69,4,43,23,62,61,33,1,12,10,51,2,66,73,47,63,67,8,49,22,48,45,28,24,9,11,50,71,13,52,65,29,21,3,7,44,70,42,6,68,72,41,46,32,3
50,29,0,0,10,72,9,43,69,27,49,70,30,3,25,6,28,31,23,52,21,44,33,47,45,12,65,66,73,46,42,26,53,1,63,51,48,71,61,67,2,32,64,7,11,8,22,13,41,62,24,68,5,4,3
50,11,0,0,32,41,63,46,43,1,23,30,45,27,6,65,5,53,48,28,52,21,71,25,70,72,26,49,12,24,9,64,7,29,31,22,10,47,33,4,3,66,2,42,69,73,68,44,13,67,8,61,62,51,1
45,26,0,0,62,49,1,42,61,70,12,4,72,10,48,69,29,44,50,66,13,11,43,51,53,25,32,47,65,3,73,68,30,67,71,6,31,2,41,23,22,7,27,28,5,9,24,8,46,64,63,21,52,33,3
41,7,0,0,23,9,12,6,69,29,26,51,31,49,46,1,32,71,48,10,3,11,5,8,61,24,21,30,28,72,42,67,66,33,63,47,73,2,62,70,4,22,13,68,53,43,44,27,25,64,65,52,50,45,1
49,45,0,0,30,48,71,4,7,27,25,1,33,41,66,3,11,28,72,61,42,29,69,46,53,23,13,5,31,32,50,67,6,21,47,24,10,68,43,22,12,52,65,8,26,51,64,9,2,63,44,73,62,70,1
5,1,0,0,8,21,12,9,46,27,68,64,71,28,73,43,44,41,61,48,25,50,52,3,29,11,13,23,49,65,32,72,4,42,63,22,6,47,53,30,69,7,26,51,67,10,24,70,31,2,66,45,33,62,3
52,63,0,0,23,12,28,61,29,66,30,8,26,5,13,22,7,44,9,68,2,24,70,25,27,50,41,48,10,42,46,43,64,72,4,6,67,65,71,3,69,31,73,47,1,45,11,51,62,49,32,33,21,53,3
13,42,0,0,41,32,3,68,45,24,72,12,46,8,25,4,69,48,62,44,50,51,67,28,52,33,9,21,71,5,73,6,47,61,2,43,1,23,53,66,27,7,11,63,64,70,10,29,30,26,65,22,49,31,3
44,2,0,0,52,42,50,51,27,33,49,70,65,9,23,26,53,10,62,64,47,13,41,48,66,68,5,73,31,45,1,29,21,43,46,3,6,8,30,69,24,12,67,61,32,28,22,11,25,71,63,4,72,7,1
7,32,0,0,23,50,68,66,48,47,13,53,22,45,28,65,70,12,49,5,69,63,43,52,42,11,61,8,1,21,29,24,4,31,72,51,27,67,30,26,2,33,3,9,73,41,46,44,10,64,6,62,25,71,3
32,6,0,0,23,25,47,61,7,50,2,28,63,21,52,42,12,13,31,43,22,65,71,26,27,10,41,29,67,73,3,24,72,53,49,4,33,62,69,48,70,5,1,9,30,51,45,66,46,68,44,8,11,64,1
13,24,0,0,67,46,23,71,45,41,53,44,22,28,33,42,49,29,66,52,4,32,68,5,26,2,12,73,65,70,10,9,21,64,6,47,69,1,27,63,7,25,8,3,30,31,51,11,62,50,43,61,48,72,3
53,68,0,0,44,70,67,1,42,62,7,46,64,26,32,30,22,13,61,63,66,72,29,12,45,24,33,65,47,73,51,71,48,2,23,50,21,25,9,6,10,4,3,5,52,8,69,41,28,31,27,43,49,11,1
1,23,0,0,50,25,30,49,70,2,8,9,3,72,32,64,43,67,26,22,5,6,42,69,29,68,52,41,51,47,12,11,7,46,24,48,45,65,71,66,53,63,31,27,61,13,10,4,21,44,62,28,73,33,1
13,12,0,0,51,21,49,7,31,50,10,70,47,29,25,73,28,65,43,23,64,53,68,27,32,46,62,44,48,24,6,41,8,11,1,67,45,72,33,52,63,4,66,71,69,3,42,30,5,61,22,26,2,9,1
68,26,0,0,65,47,67,8,10,66,62,5,1,25,7,43,21,48,49,42,64,32,22,9,2,52,72,6,41,28,50,44,4,11,31,13,45,24,46,3,71,70,63,51,12,61,27,30,23,33,29,73,53,69,1
2,1,0,0,23,4,29,72,52,31,6,43,63,48,3,13,65,64,12,67,7,44,61,41,26,5,8,27,73,50,9,66,70,49,68,53,30,21,47,24,22,32,25,42,33,10,46,11,51,69,28,62,45,71,3
6,26,0,0,25,23,73,53,69,47,66,13,45,33,22,48,65,51,10,49,9,71,32,44,68,61,67,30,31,63,2,4,46,21,41,12,11,52,27,1,50,62,24,5,3,70,64,7,42,8,43,72,29,28,1
28,70,0,0,4,48,63,13,66,62,52,45,24,61,6,5,1,33,25,23,26,65,68,30,2,49,29,12,31,44,32,51,43,41,69,21,73,3,22,72,46,64,42,71,27,53,10,7,9,11,50,47,67,8,3
64,63,0,0,3,22,41,2,1,7,61,62,5,11,25,9,72,30,68,32,28,23,4,29,13,65,44,70,50,51,12,8,33,26,46,69,47,21,67,24,53,49,31,42,71,73,27,43,66,10,45,48,52,6,1
70,66,0,0,13,25,1,2,47,49,53,48,6,9,32,69,22,28,71,62,43,5,26,30,61,42,8,73,63,3,4,29,7,52,50,51,46,21,12,68,24,64,31,65,23,27,41,45,10,67,72,44,11,33,1
52,23,0,0,32,29,28,62,65,70,13,21,3,31,68,51,4,41,46,2,12,69,71,1,6,25,50,42,27,72,64,9,30,61,33,24,43,44,5,47,26,8,66,63,67,7,48,10,22,11,49,45,53,73,1
67,10,0,0,49,62,27,47,43,9,11,69,5,33,46,26,13,65,4,48,73,32,22,66,31,28,51,63,1,72,21,7,3,24,64,23,44,71,2,52,68,8,29,30,25,12,6,42,61,45,41,53,70,50,1
31,10,0,0,51,5,72,11,66,52,47,61,6,27,50,65,46,69,25,63,68,23,53,3,9,71,67,8,24,42,12,29,43,49,48,41,73,64,21,32,30,44,62,7,33,1,2,26,70,45,13,4,28,22,1
44,73,0,0,46,47,41,9,21,10,28,7,11,29,30,61,72,45,42,63,71,69,51,12,48,62,13,43,32,5,26,24,1,65,6,33,67,23,4,25,49,52,53,50,31,22,70,8,68,66,27,64,2,3,1
8,62,0,0,49,28,33,22,25,26,72,3,23,61,13,5,12,46,1,68,27,6,7,2,29,63,43,21,71,70,10,73,32,44,30,65,11,69,53,66,24,50,48,51,45,64,41,67,9,47,52,42,31,4,1
2,70,0,0,73,31,11,44,28,47,52,43,23,26,5,7,9,21,48,64,3,46,65,42,69,8,29,68,50,53,6,27,41,25,62,13,10,1,49,24,30,4,33,72,71,67,61,22,66,51,12,32,45,63,1
69,7,0,0,12,21,42,4,1,45,26,53,10,27,62,11,49,25,67,6,41,33,13,24,3,47,22,51,2,29,23,52,73,8,64,71,28,48,65,5,61,50,72,32,31,46,63,66,68,9,30,44,43,70,3
32,11,0,0,7,42,65,70,29,69,33,68,23,43,2,73,61,30,45,4,62,12,72,26,28,31,22,9,64,47,24,63,53,49,48,13,41,71,27,5,8,1,50,44,51,3,21,10,25,6,67,66,52,46,1
71,25,0,0,31,33,65,41,32,26,24,53,73,63,8,45,29,21,4,68,51,69,46,22,30,43,13,12,66,64,49,52,28,48,7,27,23,61,72,67,62,9,42,6,3,2,44,47,70,1,10,5,50,11,1
21,69,0,0,47,63,3,22,33,32,53,13,2,46,52,43,7,29,71,27,1,48,25,8,50,72,4,70,65,5,73,68,64,28,31,44,24,23,62,61,66,49,26,45,11,41,51,6,10,30,67,9,12,42,1
23,48,0,0,8,3,44,30,46,11,22,51,65,12,70,61,9,29,53,7,32,49,63,41,10,21,25,71,31,4,28,42,68,67,33,50,47,27,62,66,72,45,1,52,6,43,24,73,69,2,64,26,5,13,3
32,28,0,0,12,70,21,47,29,44,33,13,72,63,8,61,52,10,22,50,25,2,1,65,9,66,23,42,48,64,45,49,53,62,27,43,5,6,3,71,69,24,4,68,31,51,41,67,73,11,26,30,46,7,1
22,11,0,0,9,53,50,24,72,67,46,31,70,47,64,21,10,42,29,68,2,8,48,4,66,65,45,69,27,5,52,13,63,62,12,61,44,73,32,7,41,26,23,30,25,49,3,6,33,28,1,51,71,43,1
65,32,0,0,69,67,30,24,8,41,46,25,50,6,68,27,7,29,11,10,42,48,13,66,31,23,22,12,21,53,61,4,28,26,64,33,2,62,9,51,63,45,72,47,71,3,73,43,1,5,52,70,49,44,3
31,47,0,0,42,8,27,10,33,12,73,65,71,5,49,7,29,28,62,43,9,69,11,22,4,53,3,21,32,64,23,30,48,44,51,2,6,67,52,50,70,45,1,61,46,26,24,63,25,66,41,13,72,68,1
50,69,0,0,71,23,12,26,53,73,48,42,64,7,70,32,27,68,1,6,24,49,9,28,11,30,8,61,52,47,13,21,41,65,63,10,46,3,5,25,29,31,43,72,62,45,44,67,22,4,51,2,33,66,1
46,50,0,0,22,6,11,26,5,53,2,43,66,12,29,23,9,7,27,30,49,62,67,73,72,4,41,8,69,51,48,45,25,28,33,1,32,70,3,21,31,42,63,52,64,13,47,68,10,65,44,61,24,71,3
11,73,0,0,48,1,50,68,33,70,25,44,22,52,41,4,31,49,8,6,32,53,23,72,24,46,29,51,61,28,66,65,2,67,71,45,9,43,63,12,69,27,7,26,42,10,62,64,13,21,30,47,3,5,2
33,65,0,0,42,63,3,67,69,9,45,68,8,24,72,50,27,6,43,41,31,48,13,25,11,5,70,71,66,53,1,12,44,4,32,73,28,62,49,47,22,7,46,52,29,10,64,61,30,2,26,23,21,51,1
23,28,0,0,8,12,13,31,27,44,6,64,67,48,5,43,1,46,65,50,69,52,3,32,29,51,45,62,26,41,53,33,71,42,7,25,2,66,11,72,4,21,10,9,22,70,61,63,24,73,30,68,47,49,1
65,21,0,0,24,1,45,46,71,12,51,61,5,53,7,49,6,42,8,41,30,64,67,26,52,9,28,10,73,70,27,33,3,48,68,11,62,72,31,44,22,25,23,2,13,4,50,43,32,29,63,47,69,66,1
42,48,0,0,73,12,43,69,70,64,10,63,47,45,27,23,44,6,1,68,61,72,71,65,32,33,24,46,25,22,11,4,21,2,26,31,52,30,67,62,66,7,50,28,53,29,49,3,8,9,5,51,13,41,1
70,52,0,0,2,32,11,43,26,42,41,73,8,23,9,25,6,29,10,61,46,45,69,4,68,1,48,67,62,12,21,66,3,5,31,63,30,28,72,71,22,53,47,44,65,7,13,27,24,50,51,64,49,33,2
22,7,0,0,69,66,21,45,10,13,24,27,63,48,73,42,4,29,68,8,61,47,33,26,32,49,5,6,12,52,28,65,71,64,50,43,53,25,23,9,2,72,46,51,62,1,41,3,31,30,44,67,70,11,1
53,45,0,0,9,48,62,30,73,23,7,72,3,63,31,50,69,71,10,65,42,61,6,29,66,12,4,33,13,68,44,67,64,41,21,2,43,5,26,28,70,47,1,25,22,24,11,52,49,46,27,51,8,32,2
43,52,0,0,73,64,41,69,45,13,2,50,61,47,27,42,53,10,11,51,71,48,23,44,70,24,9,32,3,67,6,29,1,26,72,65,25,31,5,21,30,4,7,62,22,33,12,28,66,49,46,68,63,8,1
70,2,0,0,63,9,69,31,61,29,65,26,68,33,51,52,71,28,43,32,27,42,4,50,12,8,46,25,13,23,44,53,49,62,47,24,48,72,6,64,67,1,45,21,11,73,22,10,66,5,7,30,3,41,1
50,73,0,0,51,25,70,26,4,21,12,33,47,63,68,28,43,41,67,3,71,10,52,6,2,23,7,24,11,48,69,66,9,61,72,49,8,1,62,44,64,30,65,5,42,13,46,29,53,32,31,22,45,27,1
26,10,0,0,6,2,25,70,73,5,21,50,51,30,49,61,43,62,11,9,44,72,41,23,13,12,65,63,31,42,66,46,52,32,1,33,48,64,27,71,7,4,45,29,69,67,22,53,24,68,28,3,47,8,1
2,6,0,0,73,50,62,5,42,25,28,71,65,48,45,27,12,70,67,52,68,32,47,41,29,30,72,61,66,7,44,26,43,24,8,11,69,31,23,33,53,22,51,9,21,46,4,49,10,1,3,64,13,63,1
45,69,0,0,71,7,28,50,30,27,70,32,12,13,41,44,65,10,46,11,64,9,53,6,5,33,29,31,72,47,48,42,3,49,62,43,68,52,61,8,66,2,26,73,22,4,25,23,63,67,51,24,1,21,1
22,64,0,0,27,6,29,52,42,53,7,68,67,25,23,30,44,13,43,24,3,62,28,1,50,71,45,21,8,41,5,65,69,61,72,12,66,73,32,9,26,10,31,11,2,47,70,4,48,51,33,46,49,63,1
24,3,0,0,26,62,27,21,63,7,32,12,41,28,72,43,73,67,61,46,11,9,42,65,66,1,70,23,5,13,44,51,31,25,69,52,68,64,50,48,29,47,4,30,45,53,49,2,8,22,71,6,10,33,1
47,51,0,0,22,13,33,41,10,44,25,27,62,46,11,72,7,71,2,28,31,4,49,1,73,42,45,69,6,66,53,12,24,63,9,68,65,48,29,50,70,21,5,52,8,30,61,32,64,26,3,23,43,67,1
63,73,0,0,41,69,52,32,26,4,53,50,51,2,24,46,28,64,8,47,29,22,66,65,27,6,71,43,33,13,44,70,25,42,12,48,61,3,21,72,23,1,30,5,49,62,10,9,68,11,7,67,45,31,2
32,46,0,0,71,27,53,12,25,3,50,70,67,6,21,24,42,66,64,30,69,9,41,1,11,49,51,33,8,23,29,72,65,62,22,13,73,28,63,68,2,26,52,7,44,43,31,61,4,47,48,45,5,10,3
22,32,0,0,41,61,50,64,43,4,8,24,3,6,28,12,42,73,26,13,30,70,45,44,62,63,10,25,72,46,11,33,53,5,21,52,66,48,51,69,71,49,65,2,9,29,7,1,67,23,68,27,31,47,3
28,70,0,0,62,69,12,2,44,24,25,26,30,11,48,65,23,50,46,3,13,31,73,63,9,49,33,72,45,29,42,41,7,67,64,47,8,22,32,1,71,53,43,5,68,21,10,6,61,51,4,27,52,66,1
25,69,0,0,9,47,48,46,65,51,45,27,61,31,1,73,63,5,52,62,44,24,4,43,72,6,66,32,53,22,67,8,33,68,71,13,11,10,2,23,49,70,26,12,21,42,7,3,50,28,41,30,29,64,1
68,33,0,0,2,69,32,28,47,45,4,5,71,61,63,8,52,6,44,64,66,65,31,67,10,24,70,46,26,29,72,62,1,23,50,53,49,22,73,12,7,21,48,25,51,41,43,3,9,30,11,42,27,13,1
69,72,0,0,41,63,2,21,5,46,73,12,13,70,65,11,48,4,8,42,7,51,31,44,64,9,27,68,33,67,62,30,3,50,66,52,61,29,71,47,32,53,22,28,26,43,23,45,6,25,10,24,49,1,1
68,42,0,0,22,43,71,64,66,73,26,25,41,51,61,9,28,5,45,47,24,6,31,3,69,1,46,72,33,44,8,7,52,11,49,30,27,53,21,70,32,23,4,67,48,50,63,62,2,29,12,10,13,65,1
49,24,0,0,27,63,50,22,69,7,66,31,10,32,67,13,64,42,46,68,44,6,61,9,62,12,65,45,73,70,41,11,71,51,30,25,23,2,52,33,28,3,5,8,48,53,21,1,43,4,72,29,26,47,1
24,48,0,0,71,4,26,52,49,65,51,25,27,13,1,28,2,3,70,50,11,8,42,46,62,68,10,5,53,29,66,47,69,32,43,41,73,12,7,64,9,61,33,44,63,31,22,6,21,45,72,30,23,67,1
61,47,0,0,69,21,22,9,48,50,44,72,30,64,5,31,63,29,23,49,32,26,27,1,10,66,73,33,12,70,25,4,24,28,3,7,2,11,6,42,68,65,67,53,8,71,51,46,52,13,41,62,43,45,1
8,32,0,0,1,22,64,44,62,10,47,30,48,63,23,2,52,61,53,70,11,69,27,45,25,6,5,29,13,50,33,66,21,3,68,71,67,24,42,28,65,4,41,73,51,43,9,26,46,12,49,7,72,31,3
42,61,0,0,12,30,2,66,62,27,28,43,41,9,48,46,7,47,52,45,4,23,1,49,70,6,26,65,73,21,10,3,71,31,32,53,50,11,69,68,25,33,63,44,8,64,51,67,5,72,22,13,24,29,1
53,7,0,0,9,5,67,3,28,72,44,50,41,65,29,42,48,43,23,11,52,71,31,1,12,4,22,8,33,61,68,6,32,26,2,62,69,66,49,24,30,51,45,21,27,13,73,70,46,63,10,64,47,25,1
67,73,0,0,41,24,30,2,66,52,23,27,5,64,29,10,6,1,69,11,71,9,51,4,70,49,44,8,13,48,45,62,50,32,21,7,63,53,3,12,25,26,42,33,65,43,46,72,31,22,61,47,28,68,1
4,63,0,0,64,33,27,41,73,48,29,44,42,68,53,28,70,65,12,25,71,72,6,23,47,67,43,49,5,21,69,66,3,8,1,46,30,2,51,24,26,31,61,7,9,52,13,10,11,32,45,22,50,62,1
1,27,0,0,26,28,7,64,71,32,24,67,50,11,2,62,51,46,72,49,31,21,73,69,52,41,43,12,10,42,48,4,70,6,22,3,45,47,44,9,63,53,33,8,23,66,25,30,65,29,5,68,61,13,1
31,61,0,0,50,25,22,21,32,46,44,68,24,41,70,7,6,65,33,26,72,43,10,12,23,3,1,47,48,62,11,71,49,64,29,52,2,28,4,63,66,30,53,67,8,9,5,42,13,27,69,45,73,51,3
23,67,0,0,63,27,25,13,4,8,43,7,2,21,61,30,1,49,66,47,53,68,11,44,51,9,10,3,62,12,50,41,52,73,26,42,70,32,31,5,48,46,28,29,33,45,6,69,65,24,64,72,71,22,1
13,30,0,0,70,22,68,64,24,61,53,43,42,28,4,50,51,44,49,12,62,2,33,10,46,45,6,63,11,67,31,25,69,66,73,65,21,5,23,71,8,26,32,9,27,48,52,3,41,72,29,47,7,1,1
22,9,0,0,63,62,25,30,33,65,61,24,46,72,31,7,51,53,67,8,28,1,52,43,42,66,23,3,64,5,69,27,10,4,6,21,73,12,70,48,68,49,50,44,2,45,11,29,71,47,13,32,41,26,1
70,63,0,0,47,11,43,9,32,25,26,44,71,65,6,27,5,41,22,33,61,62,29,72,46,23,1,8,50,30,2,69,10,64,12,67,66,31,42,7,24,28,49,53,21,68,3,73,52,48,4,13,51,45,1
61,45,0,0,51,49,25,70,7,28,68,48,32,64,31,43,71,42,4,1,63,72,62,12,22,8,47,10,26,41,67,30,27,13,66,29,9,46,73,53,2,69,65,11,21,3,24,44,6,52,33,50,5,23,3
73,50,0,0,71,49,69,7,70,62,24,21,66,5,12,72,47,27,28,51,22,67,13,53,61,41,8,46,11,30,48,52,9,68,10,31,65,1,45,33,6,4,64,26,42,23,44,25,2,63,43,29,32,3,1
65,24,0,0,22,50,31,61,10,23,9,52,42,3,68,45,8,49,12,11,33,63,47,69,5,6,41,72,71,7,70,25,66,44,28,46,53,51,62,30,13,43,21,73,26,64,32,2,67,29,1,48,27,4,1
32,67,0,0,46,5,30,71,41,53,4,21,51,62,31,44,9,50,33,48,63,13,52,61,66,24,70,73,7,1,43,27,3,11,47,10,2,8,69,72,6,49,65,25,68,23,28,45,42,12,26,29,64,22,3
28,12,0,0,42,1,50,5,4,65,47,13,45,66,9,72,61,26,73,27,30,68,7,69,24,25,71,29,22,62,44,31,3,52,67,48,70,49,64,8,51,10,21,11,46,2,53,32,41,63,43,33,6,23,1
7,52,0,0,6,64,13,32,8,5,44,73,69,27,68,30,12,10,45,22,66,49,41,1,29,9,11,28,70,53,65,50,71,23,63,25,46,48,51,43,67,26,3,61,24,33,4,31,2,47,42,72,21,62,1
73,12,0,0,64,10,50,24,3,5,30,11,7,62,1,53,63,28,22,45,68,66,42,51,71,44,49,47,8,29,69,23,9,65,13,43,2,31,41,48,52,67,27,61,33,70,21,25,6,26,32,46,72,4,3
8,52,0,0,31,6,9,2,29,44,72,71,50,48,32,30,10,5,63,68,27,47,70,25,24,22,4,43,62,46,49,12,26,69,51,67,33,23,13,11,41,42,21,45,7,64,61,73,28,66,53,1,65,3,1
33,41,0,0,43,27,48,4,30,64,73,68,32,11,63,61,65,71,13,26,24,72,69,44,25,28,62,42,10,22,53,6,5,9,70,21,2,12,66,29,49,7,3,50,23,1,47,31,51,67,52,46,8,45,3
44,9,0,0,50,4,13,31,45,43,65,69,24,6,29,41,72,22,7,28,10,8,46,53,32,2,47,33,64,30,71,26,49,1,52,21,51,63,70,68,73,12,27,42,66,23,11,67,61,48,62,25,5,3,1
24,13,0,0,29,41,53,61,2,5,66,51,27,48,28,11,32,7,49,33,52,63,25,45,65,26,50,4,42,70,10,22,72,67,9,73,43,44,21,71,69,23,3,30,1,68,47,8,64,31,12,6,46,62,1
29,25,0,0,31,24,7,67,68,2,62,66,21,73,49,26,8,69,10,72,27,52,13,3,70,42,61,51,71,65,23,28,47,64,32,50,48,1,11,9,44,5,6,12,63,4,45,41,43,53,46,33,22,30,1
51,4,0,0,7,68,11,64,1,41,29,32,72,70,22,26,27,5,43,61,49,28,3,66,13,6,67,52,63,8,23,10,62,2,53,50,25,48,47,21,30,46,31,45,9,33,42,71,44,65,73,24,12,69,3
3,71,0,0,21,31,10,41,23,63,65,46,52,62,24,6,64,29,48,67,27,7,69,4,42,43,5,2,8,70,66,11,47,32,51,73,72,28,22,33,45,12,30,26,25,61,13,1,68,53,49,50,44,9,1
29,73,0,0,12,33,1,69,67,50,32,46,11,26,49,45,4,52,25,51,62,24,71,70,8,42,22,21,65,44,61,68,6,30,47,23,13,27,64,9,41,10,31,28,2,53,3,5,72,66,43,7,48,63,3
4,50,0,0,70,32,8,23,22,68,29,3,53,63,71,41,62,42,2,61,6,48,30,31,73,66,7,69,10,21,47,64,12,65,24,44,11,49,33,5,72,51,1,28,46,26,45,25,27,43,9,52,13,67,1
69,27,0,0,3,2,9,1,72,43,12,49,10,61,62,50,13,47,48,45,7,41,22,68,70,23,51,26,33,21,5,8,67,44,42,31,52,66,63,11,71,30,73,4,24,32,64,25,65,29,28,46,6,53,1
52,32,0,0,3,66,25,70,10,51,31,73,8,64,9,21,50,24,71,65,6,63,30,27,1,2,48,49,5,33,13,4,62,12,67,28,53,23,61,44,72,7,42,69,47,29,68,41,46,22,26,43,11,45,2
63,47,0,0,13,45,8,22,11,72,28,3,62,7,49,2,67,23,30,6,69,1,25,27,12,31,32,48,26,51,10,73,21,44,64,41,66,53,24,71,29,70,5,65,42,50,68,43,46,52,61,4,9,33,2
46,9,0,0,51,65,44,69,41,64,7,49,13,31,10,29,61,8,70,25,73,42,47,11,3,43,2,50,28,63,32,66,62,30,67,6,71,4,53,27,72,48,5,33,1,26,23,24,22,12,68,45,52,21,1
21,6,0,0,10,52,66,44,63,25,47,30,73,51,49,32,43,42,28,68,46,26,12,70,1,41,7,11,72,5,2,9,24,48,65,29,69,50,64,67,8,31,3,45,4,23,61,33,27,13,22,62,71,53,1
47,67,0,0,26,70,72,31,8,23,13,22,42,66,43,62,51,12,71,50,68,10,46,41,61,2,48,29,45,52,7,63,21,49,30,69,6,24,53,3,44,73,32,5,1,4,9,25,64,65,33,28,11,27,2
12,8,0,0,24,30,3,27,62,67,63,73,29,70,65,52,41,32,69,1,5,23,44,49,42,72,68,43,46,33,13,53,4,71,6,31,2,61,11,48,7,47,25,28,9,22,45,10,50,66,21,51,64,26,2
